cityid,cloudiness,country,date_time,humidity,lat,lon,max_temp,name,temp,wind
2092164.0,100.0,PG,1607301834.0,63.0,-2.02,147.27,30.22,lorengau,30.22,3.34
766332.0,90.0,PL,1607301936.0,93.0,50.26,22.42,0.56,lezajsk,0.41,10.3
3372707.0,85.0,PT,1607301936.0,64.0,38.52,-28.7,15.79,ribeira grande,15.79,1.98
3369157.0,0.0,ZA,1607301461.0,72.0,-33.93,18.42,20.0,cape town,17.52,4.1
3464262.0,4.0,BR,1607301936.0,93.0,-15.53,-40.91,18.77,encruzilhada,18.77,2.3
3839479.0,0.0,AR,1607301937.0,52.0,-31.25,-61.49,19.44,rafaela,19.44,0.89
1879613.0,74.0,KP,1607301937.0,88.0,39.62,125.66,-0.48,anju,-0.48,1.96
6185377.0,90.0,CA,1607301904.0,92.0,62.46,-114.35,-7.0,yellowknife,-7.0,3.6
3423146.0,100.0,GL,1607301937.0,57.0,69.22,-51.1,-6.0,ilulissat,-6.0,8.2
1812256.0,0.0,CN,1607301938.0,90.0,39.82,109.98,-15.59,dongsheng,-15.59,2.51
1015776.0,100.0,ZA,1607301819.0,93.0,-34.53,20.04,17.0,bredasdorp,17.0,7.7
1282256.0,6.0,MV,1607301938.0,79.0,-0.6,73.08,27.85,hithadhoo,27.85,8.05
2420883.0,6.0,GN,1607301938.0,96.0,10.42,-13.58,21.97,fria,21.97,0.05
1591474.0,100.0,VN,1607301712.0,80.0,9.29,105.72,24.25,bac lieu,24.25,2.83
1277255.0,80.0,IN,1607301939.0,94.0,12.33,76.86,19.69,bannur,19.69,3.53
3443061.0,7.0,UY,1607301811.0,73.0,-33.7,-53.46,13.71,chuy,13.71,2.55
6165406.0,90.0,CA,1607301903.0,100.0,55.74,-97.86,-8.0,thompson,-8.0,1.5
3412093.0,100.0,IS,1607301939.0,79.0,63.44,-20.27,6.15,vestmannaeyjar,6.15,14.83
2264557.0,40.0,PT,1607301939.0,72.0,32.67,-17.1,16.0,ponta do sol,13.91,4.1
3628473.0,40.0,VE,1607301813.0,69.0,7.77,-72.22,28.0,san cristobal,28.0,1.0
4726521.0,20.0,US,1607301911.0,58.0,28.02,-97.52,14.0,san patricio,12.77,4.6
1684245.0,77.0,PH,1607301940.0,74.0,9.19,117.81,27.99,tagusao,27.99,1.82
5557293.0,90.0,US,1607301940.0,81.0,57.05,-135.33,8.0,sitka,8.0,11.3
5106841.0,15.0,US,1607301801.0,57.0,42.6,-73.97,-0.56,albany,-0.77,1.79
2212775.0,88.0,LY,1607301940.0,42.0,27.04,14.43,12.02,sabha,12.02,4.36
2155415.0,75.0,AU,1607301941.0,47.0,-42.78,147.06,14.0,new norfolk,12.94,5.7
1787837.0,75.0,CN,1607301941.0,73.0,20.35,110.13,21.0,xucheng,21.0,5.0
3893726.0,59.0,CL,1607301941.0,92.0,-35.33,-72.42,11.69,constitucion,11.69,3.93
2729907.0,90.0,SJ,1607301941.0,86.0,78.22,15.64,-2.0,longyearbyen,-2.0,8.7
1852357.0,40.0,JP,1607301941.0,82.0,34.67,138.95,13.0,shimoda,11.12,3.6
4956335.0,1.0,US,1607301941.0,59.0,41.71,-70.23,2.22,yarmouth,1.59,5.1
1855540.0,75.0,JP,1607301942.0,94.0,28.37,129.48,23.0,naze,21.98,4.6
3421765.0,48.0,GL,1607301942.0,94.0,60.14,-45.24,-0.64,nanortalik,-0.64,3.08
3347019.0,8.0,AO,1607301942.0,75.0,-15.2,12.15,19.18,namibe,19.18,3.71
1254709.0,93.0,IN,1607301831.0,60.0,27.92,96.17,16.9,tezu,16.9,0.75
5554428.0,90.0,US,1607301765.0,100.0,55.34,-131.65,9.0,ketchikan,9.0,7.7
5942547.0,12.0,CA,1607301648.0,82.0,53.22,-114.99,1.43,drayton valley,1.43,2.9
2127060.0,96.0,RU,1607301943.0,92.0,59.7,150.17,-11.82,arman,-11.82,3.75
2077895.0,75.0,AU,1607301943.0,33.0,-23.7,133.88,26.11,alice springs,25.62,4.1
1106677.0,40.0,MU,1607301825.0,83.0,-20.34,57.76,25.0,bambous virieux,25.0,5.1
3456593.0,94.0,BR,1607301943.0,82.0,-18.09,-39.55,24.4,mucuri,24.4,4.96
1172128.0,91.0,PK,1607301944.0,82.0,27.56,68.21,14.0,larkana,14.0,1.66
3894426.0,100.0,CL,1607301944.0,84.0,-45.58,-72.07,14.38,coihaique,14.38,1.94
4020109.0,6.0,PF,1607301944.0,76.0,-9.8,-139.03,25.74,atuona,25.74,6.69
5703673.0,1.0,US,1607301649.0,39.0,41.0,-115.5,0.56,elko,-0.44,2.6
3397763.0,100.0,BR,1607301944.0,87.0,-6.22,-57.75,24.49,jacareacanga,24.49,0.12
3366880.0,100.0,ZA,1607301944.0,87.0,-34.42,19.23,18.33,hermanus,18.33,3.13
478050.0,100.0,RU,1607301945.0,98.0,61.69,53.69,-2.81,ust-kulom,-2.81,3.07
3831208.0,100.0,GL,1607301945.0,71.0,77.48,-69.36,-18.72,qaanaaq,-18.72,1.12
4035715.0,83.0,CK,1607301945.0,74.0,-21.21,-159.78,29.0,avarua,29.0,6.2
780687.0,100.0,NO,1607301917.0,90.0,70.86,29.09,-0.55,berlevag,-0.55,1.77
2019488.0,100.0,RU,1607301946.0,75.0,62.72,129.67,-27.0,namtsy,-27.0,3.0
1275920.0,0.0,IN,1607301946.0,46.0,25.0,72.25,19.51,bhinmal,19.51,2.24
1819729.0,0.0,HK,1607301682.0,64.0,22.29,114.16,20.0,victoria,18.42,0.45
1790437.0,20.0,CN,1607301946.0,68.0,22.28,113.57,18.0,zhuhai,17.75,7.2
3420846.0,0.0,GL,1607301696.0,68.0,60.72,-46.03,-2.0,qaqortoq,-2.0,1.0
1337613.0,52.0,MV,1607301947.0,78.0,6.62,73.07,27.3,kulhudhuffushi,27.3,3.63
712515.0,0.0,UA,1607301947.0,86.0,48.5,39.05,-8.04,beloye,-8.04,6.53
1503153.0,63.0,RU,1607301947.0,92.0,52.27,79.17,-18.82,klyuchi,-18.82,0.87
1738050.0,20.0,MY,1607301947.0,88.0,4.41,114.01,26.0,miri,25.78,3.1
5367788.0,1.0,US,1607301799.0,87.0,34.64,-120.46,13.33,lompoc,12.83,5.7
3469932.0,100.0,BR,1607301948.0,89.0,-21.09,-45.57,21.3,boa esperanca,21.3,1.17
2126123.0,98.0,RU,1607301948.0,86.0,70.63,147.92,-30.7,chokurdakh,-30.7,1.73
5495360.0,1.0,US,1607301671.0,22.0,35.17,-103.72,13.0,tucumcari,13.0,0.75
4513583.0,90.0,US,1607301904.0,69.0,39.18,-84.53,3.33,hamilton,2.63,4.1
4290988.0,90.0,US,1607301948.0,80.0,37.69,-85.86,4.0,elizabethtown,3.78,2.6
2210554.0,0.0,LY,1607301949.0,40.0,31.21,16.59,15.31,surt,15.31,8.33
5546220.0,1.0,US,1607301912.0,15.0,37.1,-113.58,11.11,saint george,9.95,0.9
1714733.0,100.0,PH,1607301949.0,83.0,11.0,122.67,27.5,dingle,27.5,2.4
5563397.0,68.0,US,1607301949.0,83.0,40.8,-124.16,11.11,eureka,11.11,2.68
1242110.0,8.0,LK,1607301949.0,88.0,7.42,81.82,25.07,kalmunai,25.07,2.97
2071860.0,46.0,AU,1607301864.0,55.0,-33.87,121.9,17.0,esperance,17.0,3.1
293842.0,0.0,IL,1607301950.0,100.0,31.61,34.76,15.0,gat,13.35,0.45
3161456.0,90.0,NO,1607301950.0,100.0,68.56,17.52,0.0,bjerkvik,-1.78,3.6
1649150.0,4.0,ID,1607301787.0,81.0,-3.8,102.27,26.09,bengkulu,26.09,2.07
1856667.0,0.0,JP,1607301782.0,61.0,35.37,137.25,12.22,mizunami,11.32,1.55
4328010.0,90.0,US,1607301951.0,81.0,29.6,-90.72,10.0,houma,10.0,1.92
3994863.0,5.0,MX,1607301951.0,19.0,23.85,-104.23,13.0,nombre de dios,13.0,2.6
2063039.0,78.0,AU,1607301816.0,61.0,-14.25,129.55,32.2,port keats,32.2,2.26
1799384.0,100.0,CN,1607301808.0,83.0,29.29,121.42,14.44,ninghai,12.83,0.45
1847947.0,20.0,JP,1607301951.0,58.0,33.73,135.98,12.0,shingu,12.0,3.1
2161515.0,0.0,AU,1607301893.0,38.0,-34.68,150.87,26.11,kiama,24.83,4.47
3422683.0,100.0,GL,1607301952.0,93.0,68.31,-53.46,-5.09,kangaatsiaq,-5.09,5.35
